"LEAGUE","NAME","PLAYER ID","POS","SEASON","DY+/-","GP","EV P1/GP","PP P1/GP","P1/GP","EV G","EV A1","EV A2","EV P1","PP G","PP A1","PP A2","PP P1","EV SHOTS","EV SH%","PP SHOTS","PP SH%","SHOTS","SH%","SHOTS/GP","TG","TP","TP/GP","EV%","Goals/P1","EV GF","EV GA","EV GF%","EV GF%Rel","eTOI/GP","P1/e60","DOB","AGE SEPT 15","AGE DEC 31","TEAM","HT","SHOOTS","DRAFT YEAR","NHL DRAFT","DRAFT TEAM","NHL TEAM","HEATMAP"
"OHL","Cliff Pu","39761/cliff-pu","F","2018","DY+2","65","0.5846","0.4154","1.0000","15","23","12","38","13","14","4","27","149","10.07","49","26.53","208","13.94","3.20","29","84","1.2923","58.46","43.08","","","","","","","1998-06-03","20.28","20.58","LDN/KGN","6'02","R","2016","BUF (2016) - #69","BUF","FLA","pick224.com/images/39761_cliff-pu2018.png"
"WHL","Kailer Yamamoto","40350/kailer-yamamoto","F","2018","DY+1","40","0.7500","0.2500","1.0000","12","18","7","30","4","6","8","10","","","","","","","0.00","","","","75.00","40.00","","","","","","","1998-09-29","19.96","20.26","SPO","5'08","R","2017","EDM (2017) - #22","EDM","EDM",""
"WHL","Mark Rassell","37038/mark-rassell","F","2018","DY+3","70","0.7857","0.2000","0.9857","39","16","1","55","7","7","2","14","","","","","","","0.00","","","","79.71","66.67","","","","","","","1997-02-28","21.54","21.84","MH","6'01","L","2015","","","",""
"OHL","Jason Robertson","41986/jason-robertson","F","2018","DY+1","68","0.5882","0.3971","0.9853","26","14","11","40","15","12","9","27","225","11.56","81","18.52","308","13.31","4.53","41","87","1.2794","59.70","61.19","","","","","","","1999-07-22","19.15","19.44","KGN","6'02","L","2017","DAL (2017) - #39","DAL","DAL","pick224.com/images/41986_jason-robertson2018.png"
"OHL","Nikita Korostelev","36882/nikita-korostelev","F","2018","DY+3","64","0.5469","0.4375","0.9844","21","14","3","35","9","19","8","28","149","14.09","66","13.64","217","13.82","3.39","30","75","1.1719","55.56","47.62","","","","","","","1997-02-08","21.60","21.90","PBO","6'01","R","2015","TOR (2015) - #185","TOR","","pick224.com/images/36882_nikita-korostelev2018.png"
"QMJHL","D'Artagnan Joly","41353/d-artagnan-joly","F","2018","DY+1","55","0.7091","0.2727","0.9818","16","23","6","39","7","8","6","15","113","14.16","30","23.33","148","15.54","2.69","23","68","1.2364","72.22","42.59","","","","","","","1999-04-07","19.44","19.73","BAC","6'03","R","2017","CGY (2017) - #171","CGY","","pick224.com/images/41353_d-artagnan-joly2018.png"
"QMJHL","Ivan Kosorenkov","38798/ivan-kosorenkov","F","2018","DY+2","63","0.6349","0.3333","0.9682","24","16","14","40","12","9","7","21","130","18.46","38","31.58","173","20.81","2.75","36","82","1.3016","65.57","59.02","","","","","","","1998-01-22","20.65","20.94","VIC","6'00","L","2016","","","","pick224.com/images/38798_ivan-kosorenkov2018.png"
"OHL","Adam Ruzicka","41576/adam-ruzicka","F","2018","DY+1","63","0.6190","0.3492","0.9682","25","14","5","39","11","11","6","22","164","15.24","71","15.49","236","15.25","3.75","36","72","1.1429","63.93","59.02","","","","","","","1999-05-11","19.34","19.64","SAR","6'04","L","2017","CGY (2017) - #109","CGY","CGY","pick224.com/images/41576_adam-ruzicka2018.png"
"WHL","Brett Howden","39304/brett-howden","F","2018","DY+2","49","0.6531","0.3061","0.9592","14","18","11","32","5","10","8","15","","","","","","","0.00","","","","68.09","40.43","","","","","","","1998-03-29","20.46","20.76","MJ","6'02","L","2016","TBL (2016) - #27","TBL","NYR",""
"WHL","Michael Rasmussen","41422/michael-rasmussen","F","2018","DY+1","47","0.5532","0.4043","0.9574","13","13","6","26","16","3","4","19","","","","","","","0.00","","","","57.78","64.44","","","","","","","1999-04-17","19.41","19.71","TC","6'06","L","2017","DET (2017) - #9","DET","DET",""
"WHL","Ty Lewis","39102/ty-lewis","F","2018","DY+2","70","0.6714","0.2857","0.9571","27","20","11","47","10","10","10","20","","","","","","","0.00","","","","70.15","55.22","","","","","","","1998-03-05","20.53","20.82","BDN","5'11","L","2016","","","COL",""
"OHL","Linus Nyman","41936/linus-nyman","F","2018","DY+1","67","0.7910","0.1642","0.9552","33","20","12","53","5","6","8","11","156","21.15","33","15.15","195","20.00","2.91","39","85","1.2687","82.81","59.38","","","","","","","1999-07-11","19.18","19.47","KGN","5'10","L","2017","","","","pick224.com/images/41936_linus-nyman2018.png"
"QMJHL","Jordan Martel","39043/jordan-martel","F","2018","DY+2","66","0.6061","0.3485","0.9546","26","14","8","40","13","10","6","23","172","15.12","52","25.00","228","17.11","3.45","39","77","1.1667","63.49","61.90","","","","","","","1998-02-24","20.56","20.85","BAC","6'01","R","2016","","","","pick224.com/images/39043_jordan-martel2018.png"
"QMJHL","Maxime Fortier","38568/maxime-fortier","F","2018","DY+2","61","0.7213","0.2295","0.9508","21","23","8","44","6","8","2","14","190","11.05","56","10.71","265","12.08","4.34","32","75","1.2295","75.86","46.55","","","","","","","1997-12-15","20.75","21.04","HAL","5'10","R","2016","","","CBJ","pick224.com/images/38568_maxime-fortier2018.png"
"WHL","Ryan Vandervlis","39702/ryan-vandervlis","F","2018","DY+2","19","0.6842","0.2632","0.9474","10","3","0","13","1","4","1","5","","","","","","","0.00","","","","72.22","61.11","","","","","","","1998-05-23","20.31","20.61","LET","6'03","R","2016","","","",""
"WHL","Jordy Stallard","38253/jordy-stallard","F","2018","DY+2","72","0.6389","0.3056","0.9444","26","20","9","46","17","5","4","22","","","","","","","0.00","","","","67.65","63.24","","","","","","","1997-09-18","20.99","21.29","PA","6'02","L","2016","WPG (2016) - #127","WPG","",""
"OHL","Justin Brazeau","38865/justin-brazeau","F","2018","DY+2","68","0.6324","0.3088","0.9412","20","23","3","43","16","5","5","21","195","10.26","57","28.07","265","14.72","3.90","39","75","1.1029","67.19","56.25","","","","","","","1998-02-02","20.62","20.91","NB","6'06","R","2016","","","","pick224.com/images/38865_justin-brazeau2018.png"
"WHL","Tyler Soy","36898/tyler-soy","F","2018","DY+3","66","0.5909","0.3485","0.9394","20","19","7","39","11","12","9","23","","","","","","","0.00","","","","62.90","50.00","","","","","","","1997-02-10","21.60","21.89","VIC","6'00","L","2015","ANA (2016) - #205","ANA","",""
"QMJHL","Kevin Klima","37736/kevin-klima","F","2018","DY+3","68","0.5882","0.3382","0.9264","22","18","9","40","15","8","11","23","147","14.97","51","29.41","211","18.48","3.10","39","86","1.2647","63.49","58.73","","","","","","","1997-06-05","21.28","21.57","CHI","5'10","L","2015","","","","pick224.com/images/37736_kevin-klima2018.png"
"QMJHL","Otto Somppi","38719/otto-somppi","F","2018","DY+2","59","0.6610","0.2542","0.9152","15","24","19","39","11","4","4","15","95","15.79","34","32.35","142","19.72","2.41","28","83","1.4068","72.22","48.15","","","","","","","1998-01-12","20.68","20.97","HAL","6'00","L","2016","TBL (2016) - #206","TBL","TBL","pick224.com/images/38719_otto-somppi2018.png"
"WHL","Mason McCarty","36774/mason-mccarty","F","2018","DY+3","69","0.7681","0.1449","0.9130","31","22","7","53","7","3","3","10","","","","","","","0.00","","","","84.13","60.32","","","","","","","1997-01-26","21.64","21.93","RD","5'10","R","2015","","","",""
"OHL","Kole Sherwood","36747/kole-sherwood","F","2018","DY+3","57","0.6842","0.2281","0.9123","24","15","5","39","6","7","3","13","156","15.38","60","10.00","216","13.89","3.79","30","60","1.0526","75.00","57.69","","","","","","","1997-01-22","21.65","21.94","KIT","6'01","R","2015","","","CBJ","pick224.com/images/36747_kole-sherwood2018.png"
"OHL","Jonah Gadjovich","40400/jonah-gadjovich","F","2018","DY+1","42","0.6190","0.2857","0.9047","18","8","9","26","7","5","1","12","160","11.25","51","13.73","219","11.42","5.21","25","48","1.1429","68.42","65.79","","","","","","","1998-10-12","19.93","20.22","OS","6'02","L","2017","VAN (2017) - #55","VAN","VAN","pick224.com/images/40400_jonah-gadjovich2018.png"
"OHL","Kirill Maximov","41709/kirill-maximov","F","2018","DY+1","62","0.5806","0.3226","0.9032","20","16","11","36","12","8","9","20","136","14.71","87","13.79","227","14.98","3.66","34","80","1.2903","64.29","57.14","","","","","","","1999-06-01","19.29","19.58","NIAG","6'02","R","2017","EDM (2017) - #146","EDM","EDM","pick224.com/images/41709_kirill-maximov2018.png"
"WHL","Justin Almeida","40912/justin-almeida","F","2018","DY+1","72","0.6111","0.2917","0.9028","23","21","14","44","13","8","5","21","","","","","","","0.00","","","","67.69","55.38","","","","","","","1999-02-06","19.61","19.90","MJ","5'10","L","2017","PIT (2018) - #129","PIT","PIT",""
"WHL","Stelio Mattheos","41789/stelio-mattheos","F","2018","DY+1","68","0.5735","0.3235","0.8971","20","19","4","39","14","8","12","22","","","","","","","0.00","","","","63.93","55.74","","","","","","","1999-06-14","19.25","19.55","BDN","6'01","R","2017","CAR (2017) - #73","CAR","CAR",""
"QMJHL","Jeffrey Truchon-Viel","36789/jeffrey-truchon-viel","F","2018","DY+3","58","0.6379","0.2586","0.8965","26","11","7","37","12","3","1","15","181","14.36","47","25.53","235","16.60","4.05","39","62","1.0690","71.15","73.08","","","","","","","1997-01-28","21.63","21.93","BAT","6'01","L","2015","","","SJS","pick224.com/images/36789_jeffrey-truchon-viel2018.png"
"WHL","Matteo Gennaro","37270/matteo-gennaro","F","2018","DY+3","67","0.6418","0.2537","0.8955","23","20","8","43","14","3","5","17","","","","","","","0.00","","","","71.67","61.67","","","","","","","1997-03-30","21.46","21.75","SC/CGY","6'02","L","2015","WPG (2015) - #203","WPG","",""
"QMJHL","Mitchell Balmas","39229/mitchell-balmas","F","2018","DY+2","68","0.5441","0.3382","0.8823","27","10","5","37","15","8","7","23","185","14.59","49","30.61","240","17.50","3.53","42","72","1.0588","61.67","70.00","","","","","","","1998-03-19","20.49","20.78","BAT/GAT","5'11","L","2016","","","","pick224.com/images/39229_mitchell-balmas2018.png"
"QMJHL","Peter Abbandonato","39275/peter-abbandonato","F","2018","DY+2","68","0.6029","0.2794","0.8823","17","24","5","41","8","11","6","19","121","14.05","38","21.05","175","15.43","2.57","27","75","1.1029","68.33","41.67","","","","","","","1998-03-25","20.47","20.77","ROU","5'09","L","2016","","","","pick224.com/images/39275_peter-abbandonato2018.png"
"QMJHL","Mathieu Nadeau","36601/mathieu-nadeau","F","2018","DY+3","59","0.5593","0.3220","0.8813","14","19","9","33","10","9","10","19","132","10.61","44","22.73","188","13.30","3.19","25","74","1.2542","63.46","46.15","","","","","","","1997-01-03","21.70","21.99","VDO/RIM","5'10","R","2015","","","","pick224.com/images/36601_mathieu-nadeau2018.png"
"QMJHL","Rafael Harvey-Pinard","45999/rafael-harvey-pinard","F","2018","DY+1","67","0.5224","0.3582","0.8806","15","20","6","35","9","15","6","24","122","12.30","44","20.45","178","14.61","2.66","26","76","1.1343","59.32","40.68","","","","","","","1999-01-06","19.69","19.99","ROU","5'07","L","2017","MTL (2019) - #201","MTL","MTL","pick224.com/images/45999_rafael-harvey-pinard2018.png"
"WHL","Patrick Bajkov","38513/patrick-bajkov","F","2018","DY+2","72","0.5417","0.3333","0.8750","20","19","17","39","9","15","10","24","","","","","","","0.00","","","","61.90","46.03","","","","","","","1997-11-27","20.80","21.09","EVT","6'00","R","2016","","","FLA",""
"OHL","Evan Bouchard","42382/evan-bouchard","D","2018","DY","67","0.5075","0.3582","0.8657","14","20","16","34","10","14","9","24","181","7.73","111","9.01","297","8.42","4.43","25","87","1.2985","58.62","41.38","","","","","","","1999-10-20","18.90","19.20","LDN","6'02","R","2018","EDM (2018) - #10","EDM","EDM","pick224.com/images/42382_evan-bouchard2018.png"
"OHL","Matthew Strome","40688/matthew-strome","F","2018","DY+1","65","0.5538","0.3077","0.8615","24","12","7","36","12","8","4","20","132","18.18","50","24.00","185","20.00","2.85","37","68","1.0462","64.29","64.29","","","","","","","1999-01-06","19.69","19.99","HAM","6'03","L","2017","PHI (2017) - #106","PHI","PHI","pick224.com/images/40688_matthew-strome2018.png"
"WHL","Skyler McKenzie","38767/skyler-mckenzie","F","2018","DY+2","72","0.6250","0.2361","0.8611","26","19","10","45","12","5","2","17","","","","","","","0.00","","","","72.58","61.29","","","","","","","1998-01-20","20.65","20.95","POR","5'08","L","2016","WPG (2017) - #198","WPG","WPG",""
"WHL","Garrett Pilon","39418/garrett-pilon","F","2018","DY+2","69","0.5797","0.2754","0.8551","23","17","7","40","8","11","7","19","","","","","","","0.00","","","","67.80","52.54","","","","","","","1998-04-13","20.42","20.72","KAM/EVT","5'11","R","2016","WSH (2016) - #87","WSH","WSH",""
"OHL","Lucas Chiodo","40470/lucas-chiodo","F","2018","DY+1","68","0.6618","0.1912","0.8530","25","20","14","45","5","8","7","13","92","27.17","30","16.67","124","24.19","1.82","30","79","1.1618","77.59","51.72","","","","","","","1998-10-31","19.88","20.17","BAR","5'06","L","2017","","","","pick224.com/images/40470_lucas-chiodo2018.png"
"WHL","Morgan Geekie","40042/morgan-geekie","F","2018","DY+2","68","0.5735","0.2794","0.8529","22","17","10","39","4","15","5","19","","","","","","","0.00","","","","67.24","44.83","","","","","","","1998-07-20","20.15","20.45","TC","6'02","R","2016","CAR (2017) - #67","CAR","CAR",""
"WHL","Cameron Hebig","36739/cameron-hebig","F","2018","DY+3","66","0.5152","0.3333","0.8485","22","12","15","34","13","9","6","22","","","","","","","0.00","","","","60.71","62.50","","","","","","","1997-01-21","21.65","21.94","REG/SAS","6'00","R","2015","","","EDM",""
"OHL","Brandon Saigeon","39838/brandon-saigeon","F","2018","DY+2","65","0.5077","0.3385","0.8462","19","14","7","33","16","6","7","22","158","12.03","73","21.92","239","14.64","3.68","35","70","1.0769","60.00","63.64","","","","","","","1998-06-14","20.25","20.55","HAM","6'02","L","2016","COL (2018) - #140","COL","COL","pick224.com/images/39838_brandon-saigeon2018.png"
"WHL","Jordy Bellerive","41530/jordy-bellerive","F","2018","DY+1","71","0.5775","0.2676","0.8451","29","12","9","41","12","7","12","19","","","","","","","0.00","","","","68.33","68.33","","","","","","","1999-05-02","19.37","19.66","LET","5'10","L","2017","","","PIT",""
"WHL","Trey Fix-Wolansky","41674/trey-fix-wolansky","F","2018","DY+1","71","0.5352","0.3099","0.8451","19","19","10","38","8","14","8","22","","","","","","","0.00","","","","63.33","45.00","","","","","","","1999-05-26","19.30","19.60","EDM","5'08","R","2017","CBJ (2018) - #204","CBJ","CBJ",""
"QMJHL","Samuel Dove-McFalls","37348/samuel-dove-mcfalls","F","2018","DY+3","64","0.6563","0.1875","0.8438","18","24","11","42","3","9","5","12","181","9.94","43","6.98","248","8.87","3.88","22","73","1.1406","77.78","38.89","","","","","","","1997-04-10","21.43","21.73","RIM","6'02","L","2015","PHI (2015) - #98","PHI","","pick224.com/images/37348_samuel-dove-mcfalls2018.png"
"OHL","Ben Jones","41062/ben-jones","F","2018","DY+1","68","0.5147","0.3235","0.8382","15","20","11","35","13","9","7","22","132","11.36","65","20.00","213","14.08","3.13","30","79","1.1618","61.40","49.12","","","","","","","1999-02-26","19.55","19.85","NIAG","6'00","L","2017","VGK (2017) - #189","VGK","VGK","pick224.com/images/41062_ben-jones2018.png"
"QMJHL","Dawson Theede","37390/dawson-theede","F","2018","DY+3","49","0.5306","0.3061","0.8367","15","11","2","26","7","8","0","15","94","15.96","29","24.14","130","16.92","2.65","22","44","0.8980","63.41","53.66","","","","","","","1997-04-15","21.42","21.71","BAT/GAT","6'04","L","2015","","","","pick224.com/images/37390_dawson-theede2018.png"
