"LEAGUE","NAME","PLAYER ID","POS","SEASON","DY+/-","GP","EV P1/GP","PP P1/GP","P1/GP","EV G","EV A1","EV A2","EV P1","PP G","PP A1","PP A2","PP P1","EV SHOTS","EV SH%","PP SHOTS","PP SH%","SHOTS","SH%","SHOTS/GP","TG","TP","TP/GP","EV%","Goals/P1","EV GF","EV GA","EV GF%","EV GF%Rel","eTOI/GP","P1/e60","DOB","AGE SEPT 15","AGE DEC 31","TEAM","HT","SHOOTS","DRAFT YEAR","NHL DRAFT","DRAFT TEAM","NHL TEAM","HEATMAP"
"QMJHL","Ivan Chekhovich","40674/ivan-chekhovich","F","2019","DY+2","66","0.8939","0.2576","1.1515","30","29","18","59","11","6","7","17","233","12.88","38","28.95","282","15.25","4.27","43","105","1.5909","77.63","53.95","88","46","65.67","3.74","19.94","3.6475","1999-01-04","20.70","20.99","BAC","5'10","L","2017","SJS (2017) - #212","SJS","SJS","pick224.com/images/40674_ivan-chekhovich2019.png"
"WHL","Joachim Blichfeld","40027/joachim-blichfeld","F","2019","DY+3","68","0.6912","0.4559","1.1471","32","15","12","47","16","15","17","31","","","","","","","0.00","53","114","1.6765","60.26","61.54","69","55","55.65","1.88","19.61","3.8245","1998-07-17","21.16","21.46","POR","6'01","R","2016","SJS (2016) - #210","SJS","SJS",""
"OHL","Riley Damiani","43086/riley-damiani","F","2019","DY+1","58","0.6552","0.4828","1.1380","20","18","6","38","10","18","12","28","143","13.99","58","17.24","208","14.42","3.59","30","85","1.4655","57.58","45.45","57","46","55.34","13.44","20.91","3.3143","2000-03-20","19.49","19.78","KIT","5'10","R","2018","DAL (2018) - #137","DAL","DAL","pick224.com/images/43086_riley-damiani2019.png"
"QMJHL","Jeremy McKenna","41440/jeremy-mckenna","F","2019","DY+2","68","0.7206","0.4118","1.1324","27","22","13","49","18","10","7","28","250","10.80","110","16.36","364","12.36","5.35","45","97","1.4265","63.64","58.44","80","56","58.82","6.40","21.73","3.1265","1999-04-20","20.40","20.70","MON","5'10","R","2017","","","","pick224.com/images/41440_jeremy-mckenna2019.png"
"OHL","Nate Schnarr","41054/nate-schnarr","F","2019","DY+2","65","0.7538","0.3538","1.1076","22","27","18","49","12","11","12","23","124","17.74","65","18.46","193","17.62","2.97","34","102","1.5692","68.06","47.22","95","47","66.90","13.62","19.21","3.4605","1999-02-25","20.56","20.85","GUE","6'03","R","2017","ARI (2017) - #75","ARI","NJD","pick224.com/images/41054_nate-schnarr2019.png"
"WHL","Brandon Hagel","40204/brandon-hagel","F","2019","DY+3","66","0.7879","0.3182","1.1061","33","19","12","52","5","16","9","21","","","","","","","0.00","41","102","1.5455","71.23","52.05","81","44","64.80","25.25","20.26","3.6354","1998-08-27","21.05","21.34","RD","6'01","L","2016","BUF (2016) - #159","BUF","CHI",""
"OHL","Barrett Hayton","43549/barrett-hayton","F","2019","DY+1","39","0.6923","0.4103","1.1026","13","14","11","27","8","8","6","16","93","13.98","46","17.39","148","17.57","3.79","26","66","1.6923","62.79","48.84","47","30","61.04","6.07","20.35","3.7052","2000-06-09","19.27","19.56","SSM","6'01","L","2018","ARI (2018) - #5","ARI","ARI","pick224.com/images/43549_barrett-hayton2019.png"
"QMJHL","Peter Abbandonato","39275/peter-abbandonato","F","2019","DY+3","68","0.7941","0.2941","1.0882","21","33","18","54","6","14","14","20","172","12.21","43","13.95","239","12.13","3.51","29","111","1.6324","72.97","36.49","104","34","75.36","7.36","20.95","3.2856","1998-03-25","21.47","21.77","ROU","5'11","L","2016","","","","pick224.com/images/39275_peter-abbandonato2019.png"
"OHL","Nick Suzuki","42090/nick-suzuki","F","2019","DY+2","59","0.7288","0.3559","1.0847","23","20","18","43","10","11","7","21","199","11.56","54","18.52","276","12.32","4.68","34","94","1.5932","67.19","51.56","81","43","65.32","10.86","20.91","3.3558","1999-08-10","20.10","20.39","GUE/OS","5'11","R","2017","VGK (2017) - #13","VGK","MTL","pick224.com/images/42090_nick-suzuki2019.png"
"QMJHL","Jimmy Huntington","40531/jimmy-huntington","F","2019","DY+2","66","0.6818","0.3939","1.0757","24","21","11","45","13","13","6","26","140","17.14","36","36.11","189","21.16","2.86","40","92","1.3939","63.38","52.11","79","40","66.39","3.89","20.61","3.3088","1998-11-18","20.83","21.12","RIM","6'01","L","2017","","","TBL","pick224.com/images/40531_jimmy-huntington2019.png"
"OHL","Sasha Chmelevski","41761/alexander-chmelevski","F","2019","DY+2","56","0.7500","0.3214","1.0714","24","18","7","42","9","9","5","18","157","15.29","47","19.15","211","16.59","3.77","35","75","1.3393","70.00","55.00","63","30","67.74","- 1.40","19.74","3.4186","1999-06-09","20.27","20.56","OTT","6'00","R","2017","SJS (2017) - #185","SJS","SJS","pick224.com/images/41761_alexander-chmelevski2019.png"
"QMJHL","Gregor MacLeod","39787/gregor-macleod","F","2019","DY+3","60","0.7500","0.3167","1.0667","27","18","11","45","7","12","8","19","160","16.88","35","20.00","197","17.77","3.28","35","84","1.4000","70.31","53.13","74","38","66.07","- 3.16","17.92","3.6268","1998-06-07","21.27","21.57","DRU","6'00","L","2016","","","","pick224.com/images/39787_gregor-macleod2019.png"
"WHL","Noah Gregor","40072/noah-gregor","F","2019","DY+3","63","0.7619","0.3016","1.0635","26","22","10","48","12","7","5","19","","","","","","","0.00","43","88","1.3968","71.64","56.72","81","34","70.43","4.62","18.66","3.7268","1998-07-28","21.13","21.43","PA","6'00","L","2016","SJS (2016) - #111","SJS","SJS",""
"OHL","Alan Lyszczarczyk","38983/alan-lyszczarczyk","F","2019","DY+3","64","0.7656","0.2969","1.0625","26","23","8","49","12","7","5","19","229","11.35","71","16.90","304","12.83","4.75","39","82","1.2813","72.06","55.88","77","75","50.66","11.20","21.79","2.9684","1998-02-17","21.58","21.87","MISS/OS","5'10","L","2016","","","","pick224.com/images/38983_alan-lyszczarczyk2019.png"
"WHL","Jaret Anderson-Dolan","42221/jaret-anderson-dolan","F","2019","DY+2","32","0.6250","0.4063","1.0313","11","9","3","20","9","4","6","13","","","","","","","0.00","20","43","1.3438","60.61","60.61","33","24","57.89","- 1.51","18.65","3.3173","1999-09-12","20.01","20.30","SPO","5'11","L","2017","LAK (2017) - #41","LAK","LAK",""
"WHL","Dante Hannoun","40094/dante-hannoun","F","2019","DY+3","56","0.7321","0.2857","1.0178","22","19","5","41","7","9","4","16","","","","","","","0.00","29","67","1.1964","71.93","50.88","64","45","58.72","- 0.21","19.51","3.1852","1998-08-02","21.12","21.41","PA/VIC","5'06","R","2016","","","",""
"OHL","Isaac Ratcliffe","40983/isaac-ratcliffe","F","2019","DY+2","65","0.7385","0.2769","1.0154","35","13","12","48","12","6","1","18","177","19.77","62","19.35","261","19.16","4.02","50","82","1.2615","72.73","71.21","93","54","63.27","7.95","20.28","3.1413","1999-02-15","20.58","20.88","GUE","6'06","L","2017","PHI (2017) - #35","PHI","PHI","pick224.com/images/40983_isaac-ratcliffe2019.png"
"QMJHL","Nathan Legare","44301/nathan-legare","F","2019","DY","68","0.6618","0.3529","1.0147","31","14","12","45","14","10","6","24","216","14.35","50","28.00","271","16.61","3.99","45","87","1.2794","65.22","65.22","80","41","66.12","5.47","18.94","3.2138","2001-01-11","18.68","18.97","BAC","6'00","R","2019","PIT (2019) - #74","PIT","PIT","pick224.com/images/44301_nathan-legare2019.png"
"WHL","Nick Henry","41901/nick-henry","F","2019","DY+2","69","0.7391","0.2754","1.0145","24","27","13","51","4","15","8","19","","","","","","","0.00","29","94","1.3623","72.86","40.00","80","59","57.55","2.66","20.39","3.1129","1999-07-04","20.20","20.49","LET/REG","5'11","R","2017","COL (2017) - #94","COL","COL",""
"QMJHL","Mitchell Balmas","39229/mitchell-balmas","F","2019","DY+3","64","0.6719","0.3281","1.0000","28","15","13","43","14","7","4","21","204","13.73","47","29.79","258","16.67","4.03","43","82","1.2813","67.19","65.63","79","57","58.09","- 0.08","20.97","2.9056","1998-03-19","21.49","21.78","CAP","6'00","L","2016","","","","pick224.com/images/39229_mitchell-balmas2019.png"
"OHL","Owen Tippett","40984/owen-tippett","F","2019","DY+2","54","0.7593","0.2407","1.0000","27","14","12","41","5","8","7","13","193","13.99","62","8.06","266","12.41","4.93","33","74","1.3704","75.93","59.26","70","38","64.81","11.62","20.87","2.9282","1999-02-16","20.58","20.88","SAG/MISS","6'02","R","2017","FLA (2017) - #10","FLA","FLA","pick224.com/images/40984_owen-tippett2019.png"
"OHL","Hugo Leufvenius","41250/hugo-leufvenius","F","2019","DY+2","66","0.6818","0.3182","1.0000","27","18","9","45","10","11","6","21","201","13.43","51","19.61","253","14.62","3.83","37","81","1.2273","68.18","56.06","79","73","51.97","9.29","19.44","3.0866","1999-03-26","20.47","20.76","SAR","6'03","L","2017","","","","pick224.com/images/41250_hugo-leufvenius2019.png"
"WHL","Connor Dewar","41859/connor-dewar","F","2019","DY+2","59","0.6271","0.3729","1.0000","23","14","12","37","12","10","7","22","","","","","","","0.00","36","81","1.3729","62.71","59.32","64","37","63.37","- 1.68","22.62","2.7429","1999-06-26","20.22","20.51","EVT","5'10","L","2017","MIN (2018) - #92","MIN","MIN",""
"WHL","Luka Burzan","42626/luka-burzan","F","2019","DY+1","68","0.7647","0.2353","1.0000","27","25","6","52","13","3","4","16","","","","","","","0.00","40","78","1.1471","76.47","58.82","71","53","57.26","11.98","18.79","3.1928","2000-01-07","19.69","19.98","BDN","6'01","L","2018","COL (2019) - #171","COL","COL",""
"WHL","Mark Kastelic","41159/mark-kastelic","F","2019","DY+2","66","0.5606","0.4242","0.9848","21","16","6","37","24","4","4","28","","","","","","","0.00","47","77","1.1667","56.92","69.23","58","49","54.21","6.57","16.98","3.5880","1999-03-11","20.51","20.81","CGY","6'03","R","2017","OTT (2019) - #125","OTT","OTT",""
"QMJHL","Nicolas Guay","41820/nicolas-guay","F","2019","DY+2","64","0.7813","0.2031","0.9844","28","22","12","50","5","8","3","13","179","15.64","38","13.16","231","17.32","3.61","40","87","1.3594","79.37","52.38","79","37","68.10","0.03","18.98","3.5570","1999-06-18","20.24","20.54","DRU","6'00","R","2017","","","","pick224.com/images/41820_nicolas-guay2019.png"
"OHL","Matthew Struthers","42555/matthew-struthers","F","2019","DY+1","61","0.6721","0.3115","0.9836","19","22","12","41","12","7","9","19","125","15.20","63","19.05","196","15.82","3.21","31","81","1.3279","68.33","51.67","77","65","54.23","14.54","20.57","2.8697","1999-12-26","19.72","20.01","NB","6'02","L","2018","","","","pick224.com/images/42555_matthew-struthers2019.png"
"QMJHL","Samuel Asselin","39944/samuel-asselin","F","2019","DY+3","69","0.7391","0.2319","0.9710","33","18","13","51","14","2","3","16","156","21.15","43","32.56","205","23.41","2.97","48","86","1.2464","76.12","70.15","92","42","68.66","6.46","19.98","3.0024","1998-07-01","21.21","21.50","BAT/HAL","5'10","L","2016","","","","pick224.com/images/39944_samuel-asselin2019.png"
"QMJHL","Daniel Hardie","39820/daniel-hardie","F","2019","DY+3","68","0.7059","0.2647","0.9706","24","24","11","48","10","8","1","18","161","14.91","47","21.28","214","15.89","3.15","34","78","1.1471","72.73","51.52","79","48","62.20","10.22","18.72","3.1117","1998-06-11","21.26","21.56","CHA","5'10","L","2016","","","","pick224.com/images/39820_daniel-hardie2019.png"
"OHL","Greg Meireles","40650/greg-meireles","F","2019","DY+2","68","0.5147","0.4412","0.9559","20","15","15","35","13","17","13","30","144","13.89","89","14.61","249","14.46","3.66","36","97","1.4265","53.85","50.77","66","63","51.16","9.01","20.86","2.9192","1999-01-01","20.71","21.00","KIT","5'11","R","2017","FLA (2019) - #168","FLA","FLA","pick224.com/images/40650_greg-meireles2019.png"
"OHL","Jonathan Yantsis","41504/jonathan-yantsis","F","2019","DY+2","68","0.5441","0.4118","0.9559","27","10","5","37","23","5","3","28","163","16.56","70","32.86","233","21.46","3.43","50","73","1.0735","56.92","76.92","56","57","49.56","6.15","18.87","3.0391","1999-04-28","20.38","20.68","KIT","6'03","R","2017","","","","pick224.com/images/41504_jonathan-yantsis2019.png"
"WHL","Parker AuCoin","40084/parker-aucoin","F","2019","DY+3","68","0.6029","0.3529","0.9558","22","19","8","41","15","9","4","24","","","","","","","0.00","42","84","1.2353","63.08","56.92","59","67","46.83","2.95","19.68","3.2276","1998-07-30","21.13","21.42","TC","6'00","L","2016","","","",""
"QMJHL","Jakob Pelletier","44550/jakob-pelletier","F","2019","DY","65","0.6462","0.3077","0.9539","28","14","16","42","9","11","7","20","158","17.72","49","18.37","223","17.49","3.43","39","89","1.3692","67.74","59.68","76","41","64.96","14.48","20.14","3.0253","2001-03-07","18.52","18.82","MON","5'09","L","2019","CGY (2019) - #26","CGY","CGY","pick224.com/images/44550_jakob-pelletier2019.png"
"OHL","Cole Perfetti","45319/cole-perfetti","F","2019","DY-1","63","0.7460","0.2063","0.9523","30","17","9","47","7","6","5","13","136","22.06","29","24.14","165","22.42","2.62","37","74","1.1746","78.33","61.67","76","38","66.67","10.59","17.08","3.3456","2002-01-01","17.71","18.00","SAG","5'10","L","2020","","","","pick224.com/images/45319_cole-perfetti2019.png"
"OHL","Cole Coskey","41711/cole-coskey","F","2019","DY+2","52","0.6346","0.3077","0.9423","19","14","5","33","11","5","6","16","100","19.00","35","31.43","143","21.68","2.75","31","63","1.2115","67.35","61.22","55","45","55.00","- 1.85","18.57","3.1687","1999-06-01","20.29","20.58","SAG","6'01","R","2017","NYI (2019) - #209","NYI","NYI","pick224.com/images/41711_cole-coskey2019.png"
"OHL","Cole Carter","39972/cole-carter","F","2019","DY+3","61","0.5902","0.3443","0.9345","22","14","5","36","11","10","4","21","170","12.94","53","20.75","235","14.89","3.85","35","68","1.1148","63.16","57.89","61","66","48.03","2.44","20.80","2.7895","1998-07-06","21.19","21.49","MISS","5'09","R","2016","","","","pick224.com/images/39972_cole-carter2019.png"
"OHL","Jack Studnicka","41010/jack-studnicka","F","2019","DY+2","60","0.5667","0.3667","0.9334","17","17","13","34","15","7","7","22","136","12.50","54","27.78","211","17.06","3.52","36","83","1.3833","60.71","57.14","65","42","60.75","- 1.93","20.41","3.0383","1999-02-18","20.58","20.87","NIAG/OSH","6'02","R","2017","BOS (2017) - #53","BOS","BOS","pick224.com/images/41010_jack-studnicka2019.png"
"OHL","Brandon Saigeon","39838/brandon-saigeon","F","2019","DY+3","68","0.4559","0.4706","0.9265","16","15","10","31","16","16","13","32","131","12.21","112","14.29","261","14.18","3.84","37","92","1.3529","49.21","50.79","63","72","46.67","- 4.01","21.50","2.8319","1998-06-14","21.25","21.55","HAM/OSH","6'02","L","2016","COL (2018) - #140","COL","COL","pick224.com/images/39838_brandon-saigeon2019.png"
"OHL","Connor McMichael","44324/connor-mcmichael","F","2019","DY","67","0.6866","0.2388","0.9254","25","21","5","46","10","6","4","16","170","14.71","46","21.74","221","16.29","3.30","36","72","1.0746","74.19","56.45","71","50","58.68","1.30","17.63","3.1994","2001-01-15","18.67","18.96","LDN","6'00","L","2019","WSH (2019) - #25","WSH","WSH","pick224.com/images/44324_connor-mcmichael2019.png"
"OHL","Adam Ruzicka","41576/adam-ruzicka","F","2019","DY+2","65","0.7077","0.2154","0.9231","32","14","8","46","3","11","10","14","195","16.41","56","5.36","256","13.67","3.94","35","78","1.2000","76.67","58.33","82","68","54.67","1.08","19.42","2.8515","1999-05-11","20.34","20.64","SAR/SBY","6'04","L","2017","CGY (2017) - #109","CGY","CGY","pick224.com/images/41576_adam-ruzicka2019.png"
"WHL","James Malm","41851/james-malm","F","2019","DY+2","64","0.6719","0.2500","0.9219","24","19","6","43","10","6","12","16","","","","","","","0.00","34","77","1.2031","72.88","57.63","59","45","56.73","3.11","17.48","3.1636","1999-06-25","20.22","20.52","VAN/CGY","5'09","L","2017","","","",""
"OHL","Kirill Maximov","41709/kirill-maximov","F","2019","DY+2","63","0.5873","0.3333","0.9206","22","15","10","37","16","5","7","21","141","15.60","84","19.05","232","17.24","3.68","40","79","1.2540","63.79","65.52","70","33","67.96","5.24","17.94","3.2912","1999-06-01","20.29","20.58","NIAG","6'03","R","2017","EDM (2017) - #146","EDM","EDM","pick224.com/images/41709_kirill-maximov2019.png"
"OHL","Allan McShane","42877/allan-mcshane","F","2019","DY+1","62","0.6774","0.2419","0.9193","23","19","7","42","11","4","5","15","143","16.08","47","23.40","195","17.44","3.15","34","69","1.1129","73.68","59.65","66","39","62.86","10.52","18.31","3.0120","2000-02-14","19.59","19.88","OSH","5'11","L","2018","MTL (2018) - #97","MTL","MTL","pick224.com/images/42877_allan-mcshane2019.png"
"OHL","Anthony Salinitri","39110/anthony-salinitri","F","2019","DY+3","68","0.6618","0.2500","0.9118","31","14","8","45","10","7","8","17","194","15.98","51","19.61","270","17.78","3.97","48","88","1.2941","72.58","66.13","69","63","52.27","0.92","19.45","3.2657","1998-03-05","21.53","21.82","OSH/SAR","5'11","L","2016","PHI (2016) - #172","PHI","","pick224.com/images/39110_anthony-salinitri2019.png"
"WHL","Jordy Bellerive","41530/jordy-bellerive","F","2019","DY+2","68","0.6618","0.2500","0.9118","23","22","13","45","9","8","7","17","","","","","","","0.00","33","83","1.2206","72.58","51.61","73","42","63.48","8.73","17.49","3.1783","1999-05-02","20.37","20.66","LET","5'11","L","2017","","","PIT",""
"QMJHL","Samuel Poulin","44509/samuel-poulin","F","2019","DY","67","0.6567","0.2537","0.9104","21","23","9","44","8","9","4","17","204","10.29","45","17.78","253","11.46","3.78","29","76","1.1343","72.13","47.54","73","61","54.48","4.94","19.45","2.8547","2001-02-25","18.56","18.85","SHE","6'01","L","2019","PIT (2019) - #21","PIT","PIT","pick224.com/images/44509_samuel-poulin2019.png"
"QMJHL","Joel Teasdale","41158/joel-teasdale","F","2019","DY+2","66","0.6061","0.3030","0.9091","23","17","8","40","14","6","2","20","185","12.43","60","23.33","268","16.04","4.06","43","80","1.2121","66.67","61.67","72","37","66.06","12.62","20.43","3.1149","1999-03-11","20.51","20.81","BLB/ROU","6'00","L","2017","","","MTL","pick224.com/images/41158_joel-teasdale2019.png"
"OHL","Liam Hawel","41429/liam-hawel","F","2019","DY+2","66","0.6364","0.2727","0.9091","24","18","16","42","13","5","2","18","114","21.05","45","28.89","160","23.13","2.42","37","78","1.1818","70.00","61.67","81","39","67.50","14.12","16.40","3.3256","1999-04-18","20.41","20.70","GUE","6'05","R","2017","DAL (2017) - #101","DAL","","pick224.com/images/41429_liam-hawel2019.png"
"WHL","Matthew Wedman","41665/matthew-wedman","F","2019","DY+2","66","0.6515","0.2576","0.9091","26","17","12","43","12","5","3","17","","","","","","","0.00","40","77","1.1667","71.67","63.33","77","52","59.69","15.19","19.94","2.8264","1999-05-25","20.31","20.60","SEA","6'03","L","2017","FLA (2019) - #199","FLA","FLA",""
"QMJHL","Rafael Harvey-Pinard","45999/rafael-harvey-pinard","F","2019","DY+2","66","0.6667","0.2424","0.9091","27","17","17","44","9","7","2","16","194","13.92","53","16.98","264","15.15","4.00","40","85","1.2879","73.33","60.00","70","30","70.00","- 2.20","19.19","3.1261","1999-01-06","20.69","20.99","ROU","5'09","L","2017","MTL (2019) - #201","MTL","MTL","pick224.com/images/45999_rafael-harvey-pinard2019.png"
"WHL","Riley Woods","39907/riley-woods","F","2019","DY+3","65","0.6000","0.3077","0.9077","18","21","8","39","11","9","6","20","","","","","","","0.00","29","75","1.1538","66.10","49.15","59","38","60.82","10.59","17.20","3.2729","1998-06-25","21.22","21.52","SPO","5'10","L","2016","","","",""
"QMJHL","Alex Beaucage","45045/alex-beaucage","F","2019","DY","68","0.6029","0.2941","0.8970","25","16","9","41","14","6","9","20","179","13.97","59","23.73","240","16.25","3.53","39","79","1.1618","67.21","63.93","77","26","74.76","5.23","18.23","2.9529","2001-07-25","18.14","18.43","ROU","6'02","R","2019","COL (2019) - #78","COL","COL","pick224.com/images/45045_alex-beaucage2019.png"
"WHL","Davis Koch","39828/davis-koch","F","2019","DY+3","67","0.6119","0.2836","0.8955","23","18","5","41","5","14","12","19","","","","","","","0.00","28","78","1.1642","68.33","46.67","58","36","61.70","2.40","18.61","2.9359","1998-06-13","21.26","21.55","VAN","6'00","L","2016","","","",""
"WHL","Bryce Kindopp","41790/bryce-kindopp","F","2019","DY+2","67","0.6567","0.2388","0.8955","22","22","6","44","12","4","2","16","","","","","","","0.00","39","73","1.0896","73.33","56.67","68","31","68.69","7.03","20.85","2.7912","1999-06-14","20.25","20.55","EVT","6'01","R","2017","","","ANA",""
"WHL","Noah Philp","40223/noah-philp","F","2019","DY+3","56","0.5357","0.3571","0.8928","18","12","11","30","8","12","13","20","","","","","","","0.00","26","75","1.3393","60.00","52.00","49","45","52.13","- 2.02","17.91","3.0515","1998-08-31","21.04","21.33","SEA","6'03","R","2016","","","",""
"QMJHL","Jared McIsaac","43142/jared-mcisaac","D","2019","DY+1","53","0.5849","0.3019","0.8868","13","18","6","31","3","13","9","16","128","10.16","43","6.98","179","8.94","3.38","16","62","1.1698","65.96","34.04","77","42","64.71","- 5.92","25.20","2.1110","2000-03-27","19.47","19.76","HAL","6'01","L","2018","DET (2018) - #36","DET","DET","pick224.com/images/43142_jared-mcisaac2019.png"
